Team 1,Agg.,Team 2,1st leg,2nd leg
Malmö FF,5–2,F91 Dudelange,3–0,2–2
Shamrock Rovers,5–2,Shkupi,3–1,2–1
Linfield,0–5,Zürich,0–2,0–3
Olympiacos,3–3 (4–3 p),Slovan Bratislava,1–1,2–2 (a.e.t.)
Maribor,0–3,HJK,0–2,0–1
AEK Larnaca,4–3,Partizan,2–1,2–2
Fenerbahçe,4–1,Slovácko,3–0,1–1
