Team 1,Agg.,Team 2,1st leg,2nd leg
Maccabi Haifa,4–2,Apollon Limassol,4–0,0–2
Qarabağ,4–2,Ferencváros,1–1,3–1
Ludogorets Razgrad,3–6,Dinamo Zagreb,1–2,2–4
Sheriff Tiraspol,2–4,Viktoria Plzeň,1–2,1–2
Bodø/Glimt,6–1,Žalgiris,5–0,1–1
Red Star Belgrade,7–0,Pyunik,5–0,2–0
Monaco,3–4,PSV Eindhoven,1–1,2–3 (a.e.t.)
Dynamo Kyiv,3–1,Sturm Graz,1–0,2–1 (a.e.t.)
Union Saint-Gilloise,2–3,Rangers,2–0,0–3
Benfica,7–2,Midtjylland,4–1,3–1
